"InsurancePolicyNumber","CustomerLoyaltyPeriod","DateOfPolicyCoverage","InsurancePolicyState","Policy_CombinedSingleLimit","Policy_Deductible","PolicyAnnualPremium","UmbrellaLimit","InsuredRelationship","CustomerID"
128765,152,2009-03-28,"State3","500/300",953,1131.39,0,"other-relative","Cust19644"
128766,177,2005-10-15,"State1","100/300",2000,1274.31,0,"own-child","Cust19645"
128767,182,2005-10-17,"State1","100/300",2000,1267.37,0,"not-in-family","Cust19646"
128769,188,2005-11-19,"State1","100/300",2000,1258.17,0,"own-child","Cust19648"
128770,135,1993-11-09,"State2","250/500",826,852.67,0,"other-relative","Cust19649"
128771,128,1992-11-08,"State2","250/500",855,839.38,0,"other-relative","Cust19650"
128773,124,1992-11-07,"State3","250/500",872,831.58,0,"other-relative","Cust19652"
128774,59,2001-09-28,"State1","250/300",1000,1181.47,0,"not-in-family","Cust19653"
128775,9,1999-05-23,"State1","100/300",1000,1320.12,0,"not-in-family","Cust19654"
128776,8,1999-05-23,"State2","100/300",1000,1322.45,0,"wife","Cust19655"
128777,24,2000-06-24,"State1","100/500",1000,1280.17,0,"wife","Cust19656"
128778,126,2009-03-21,"State1","100/500",577,904.18,0,"other-relative","Cust19657"
128779,110,2008-02-14,"State3","250/300",849,601.4,0,"other-relative","Cust19658"
128781,121,2008-03-19,"State3","250/500",649,824.23,0,"other-relative","Cust19660"
128782,119,2001-04-06,"State1","250/500",2000,1061.52,0,"husband","Cust19661"
128784,157,2000-05-14,"State1","250/1000",2000,1118.12,0,"husband","Cust19663"
128785,146,2000-05-12,"State2","500/1000",2000,1101.11,0,"husband","Cust19664"
128788,217,2003-06-15,"State1","500/300",955,1135.52,0,"husband","Cust19667"
128789,217,2004-06-15,"State3","500/300",964,1133.58,0,"husband","Cust19668"
128791,436,2000-10-17,"State1","250/300",500,954.17,3491216,"own-child","Cust19670"
128792,434,2000-10-17,"State1","100/300",500,962.92,3145373,"own-child","Cust19671"
128794,213,2000-06-18,"State3","500/500",500,1156.4,0,"not-in-family","Cust19673"
128795,222,2001-06-19,"State3","500/1000",500,1161.1,0,"other-relative","Cust19674"
128796,224,2001-07-19,"State1","500/500",500,1162.52,0,"other-relative","Cust19675"
128802,117,1995-12-21,"State3","500/1000",1000,1427.14,0,"other-relative","Cust19681"
128803,116,1996-12-21,"State3","250/500",1000,1409.52,0,"other-relative","Cust19682"
128804,113,1998-12-21,"State3","500/1000",1000,1288.6,0,"other-relative","Cust19683"
128805,119,1994-11-21,"State3","250/500",1000,1504.78,0,"other-relative","Cust19684"
128806,239,1998-08-11,"State2","100/1000",2000,1291.02,6713427,"other-relative","Cust19685"
128808,220,1996-09-09,"State2","500/300",2000,1240.9,5661038,"wife","Cust19687"
128809,226,1997-09-10,"State2","100/1000",2000,1258.12,6022756,"other-relative","Cust19688"
128810,106,2001-07-16,"State3","500/1000",2000,1085.51,0,"wife","Cust19689"
128811,123,2000-08-16,"State3","500/1000",2000,1123.23,0,"wife","Cust19690"
128812,125,2000-09-16,"State3","500/1000",2000,1127.77,0,"wife","Cust19691"
128813,146,1998-10-15,"State3","500/1000",2000,1172.66,0,"wife","Cust19692"
128814,374,1997-03-27,"State2","250/1000",678,1357.83,0,"own-child","Cust19693"
128815,344,1995-02-23,"State1","500/500",944,1292.86,0,"own-child","Cust19694"
128816,381,1998-03-28,"State1","500/1000",616,1372.92,0,"own-child","Cust19695"
128817,380,1998-03-28,"State2","250/500",626,1370.43,0,"own-child","Cust19696"
128820,45,2010-08-24,"State3","500/300",1806,693.87,0,"unmarried","Cust19699"
128822,153,2005-11-11,"State3","100/1000",500,1016.09,0,"other-relative","Cust19701"
128823,154,2007-09-19,"State3","500/300",500,1045.37,0,"unmarried","Cust19702"
128824,154,2006-10-14,"State2","100/1000",500,1027.8,0,"unmarried","Cust19703"
128827,141,1995-10-12,"State2","250/300",2000,1340.87,0,"husband","Cust19706"
128829,138,1994-10-12,"State2","100/500",2000,1340.51,0,"husband","Cust19708"
128830,376,2012-04-14,"State2","250/300",2000,1579.42,0,"husband","Cust19709"
128831,404,2008-03-08,"State2","100/300",2000,1540.26,0,"husband","Cust19710"
128832,409,2007-03-08,"State3","250/500",2000,1533.47,0,"unmarried","Cust19711"
128833,394,2009-03-10,"State3","100/300",2000,1554.53,0,"husband","Cust19712"
128834,238,1998-11-05,"State1","100/300",1516,1288.39,0,"own-child","Cust19713"
128835,270,1995-12-07,"State1","100/500",1010,1252.33,0,"wife","Cust19714"
128837,248,1997-11-06,"State1","250/500",1357,1277.04,0,"wife","Cust19716"
128838,101,2011-03-14,"State3","100/300",815,883.58,0,"husband","Cust19717"
128839,99,2011-03-13,"State3","100/300",906,857.52,0,"wife","Cust19718"
128840,98,2010-02-12,"State3","100/300",962,841.34,0,"husband","Cust19719"
128841,105,2013-04-18,"State3","100/300",584,950.41,0,"husband","Cust19720"
128843,235,1994-02-18,"State3","100/300",2000,1303.6,0,"other-relative","Cust19722"
128846,281,1993-01-05,"State2","500/1000",500,1137.23,0,"own-child","Cust19725"
128849,250,2004-02-03,"State2","250/1000",500,1276.26,0,"own-child","Cust19728"
128850,243,2009-04-21,"State2","250/500",2000,1311.07,0,"not-in-family","Cust19729"
128851,250,2008-04-20,"State2","100/500",2000,1299.02,0,"not-in-family","Cust19730"
128852,255,2007-04-20,"State2","100/300",2000,1290.58,0,"not-in-family","Cust19731"
128853,250,2008-04-20,"State2","250/300",2000,1299.51,0,"not-in-family","Cust19732"
128854,83,2007-03-07,"State1","100/300",694,1005.94,6000000,"not-in-family","Cust19733"
128855,96,2006-03-06,"State1","100/300",744,1005.73,6000000,"own-child","Cust19734"
128856,161,2002-04-01,"State2","100/300",993,1004.66,6000000,"own-child","Cust19735"
128857,47,2009-03-10,"State2","100/300",559,1006.52,6000000,"own-child","Cust19736"
128858,268,1997-10-20,"State3","250/1000",1000,1412.45,0,"unmarried","Cust19737"
128859,281,2000-11-20,"State3","250/500",1000,1396.6,0,"not-in-family","Cust19738"
128860,286,2001-12-21,"State3","500/500",1000,1390.87,0,"not-in-family","Cust19739"
128862,318,1996-10-29,"State3","250/500",2000,1196.93,0,"not-in-family","Cust19741"
128863,282,1994-11-28,"State3","250/500",2000,1234.01,0,"other-relative","Cust19742"
128864,341,1997-10-29,"State3","250/500",2000,1173.76,0,"not-in-family","Cust19743"
128867,217,2009-04-24,"State3","250/300",2000,1350.7,0,"not-in-family","Cust19746"
128869,208,2008-04-25,"State3","250/300",2000,1362.38,0,"own-child","Cust19748"
128870,112,1999-07-07,"State2","500/500",500,1316.54,0,"wife","Cust19749"
128871,109,1998-07-07,"State2","250/500",500,1313.78,0,"not-in-family","Cust19750"
128872,122,2004-08-05,"State2","500/1000",500,1324.74,0,"not-in-family","Cust19751"
128873,114,2001-08-06,"State1","500/1000",500,1318.66,0,"not-in-family","Cust19752"
128874,72,1998-07-03,"State2","500/300",1000,1069.27,6000000,"unmarried","Cust19753"
128875,119,2000-05-02,"State1","100/300",1000,1035.82,6000000,"not-in-family","Cust19754"
128876,132,2001-05-02,"State2","100/1000",1000,1026.51,6000000,"not-in-family","Cust19755"
128877,119,2000-05-02,"State1","500/1000",1000,1035.69,6000000,"not-in-family","Cust19756"
128880,122,2001-10-27,"State3","500/300",992,1058,0,"not-in-family","Cust19759"
128882,25,2001-04-28,"State2","500/500",797,1302.49,4405881,"own-child","Cust19761"
128884,28,2001-04-28,"State2","500/500",832,1293.12,4335748,"own-child","Cust19763"
128885,17,2002-04-27,"State1","250/500",679,1333.96,4641398,"own-child","Cust19764"
128886,264,1995-07-06,"State3","500/1000",500,1363.73,-582952,"husband","Cust19765"
128887,244,1995-09-08,"State1","500/1000",500,1387.58,-188081,"wife","Cust19766"
128888,281,1995-05-04,"State3","100/300",500,1342.48,-934826,"husband","Cust19767"
128889,241,1995-09-08,"State1","100/1000",500,1390.94,-132525,"husband","Cust19768"
128891,111,2008-11-17,"State2","250/500",2000,1010.35,0,"wife","Cust19770"
128893,64,2011-09-27,"State2","250/300",2000,805.17,0,"other-relative","Cust19772"
128895,140,2011-02-02,"State2","500/500",898,1293.81,818478,"wife","Cust19774"
128899,118,2003-08-06,"State2","250/500",500,1321.99,0,"not-in-family","Cust19778"
128900,109,1998-07-07,"State1","250/1000",500,1313.79,0,"not-in-family","Cust19779"
128902,227,2006-06-17,"State1","250/300",2000,996.28,0,"own-child","Cust19781"
128903,216,2006-07-16,"State1","250/500",2000,1055.59,0,"wife","Cust19782"
128904,213,2006-07-16,"State1","100/500",2000,1070.31,0,"own-child","Cust19783"
128905,205,2006-08-16,"State1","100/500",2000,1110.02,0,"wife","Cust19784"
128906,241,1993-12-08,"State1","100/1000",500,810.88,0,"other-relative","Cust19785"
128907,124,1994-09-21,"State1","500/1000",500,898.93,0,"wife","Cust19786"
128909,176,1993-10-15,"State3","500/300",500,859.54,0,"wife","Cust19788"
128910,181,2010-03-19,"State1","100/1000",730,1421.24,0,"other-relative","Cust19789"
128911,190,2011-03-15,"State1","100/300",567,1417.7,0,"other-relative","Cust19790"
128912,180,2010-03-19,"State3","500/1000",747,1421.63,0,"other-relative","Cust19791"
128913,189,2011-03-16,"State1","500/300",591,1418.22,0,"not-in-family","Cust19792"
128914,126,1998-09-10,"State1","500/1000",2000,925.03,0,"other-relative","Cust19793"
128915,122,1997-08-07,"State2","250/500",2000,1015.14,0,"other-relative","Cust19794"
128916,125,1998-09-09,"State1","500/500",2000,950.63,0,"unmarried","Cust19795"
128917,124,1998-09-09,"State2","250/500",2000,962.36,0,"other-relative","Cust19796"
128919,210,2007-07-12,"State1","100/1000",810,1136.62,0,"not-in-family","Cust19798"
128920,227,2007-07-10,"State1","100/1000",701,1070.1,0,"not-in-family","Cust19799"
128922,100,1995-12-23,"State1","500/300",2000,1223.38,1971852,"not-in-family","Cust19801"
128923,96,1996-12-21,"State2","500/300",2000,1324.76,471770,"not-in-family","Cust19802"
128924,101,1995-11-23,"State2","500/1000",2000,1174.28,2698366,"not-in-family","Cust19803"
128925,97,1996-12-22,"State2","100/300",2000,1302.2,805601,"not-in-family","Cust19804"
128927,140,1997-02-03,"State1","500/1000",1591,1389.05,0,"other-relative","Cust19806"
128928,105,1997-02-03,"State3","500/300",1749,1393.56,0,"other-relative","Cust19807"
128929,136,1997-02-03,"State3","500/300",1609,1389.58,0,"other-relative","Cust19808"
128932,189,2011-11-05,"State2","250/1000",500,1191.22,2268370,"husband","Cust19811"
128934,280,2002-11-21,"State2","250/500",500,1396.94,0,"husband","Cust19813"
128937,279,2002-11-21,"State2","250/300",500,1397.74,0,"own-child","Cust19816"
128938,163,1991-10-13,"State3","100/1000",1000,1109.57,6000000,"unmarried","Cust19817"
128939,213,1992-08-14,"State3","500/300",1000,1282.15,6000000,"other-relative","Cust19818"
128940,271,1993-06-16,"State3","500/1000",1000,1481.76,6000000,"unmarried","Cust19819"
128942,80,2011-12-02,"State1","500/500",1057,1381.7,0,"husband","Cust19821"
128944,112,2011-11-02,"State1","250/1000",1408,1331.98,0,"husband","Cust19823"
128945,147,2010-10-01,"State1","500/500",1805,1275.57,0,"husband","Cust19824"
128946,120,2013-12-04,"State1","500/300",1519,1526.23,0,"other-relative","Cust19825"
128947,108,2014-12-05,"State1","500/300",1362,1591.07,0,"wife","Cust19826"
128948,116,2014-12-05,"State1","500/300",1467,1547.8,0,"other-relative","Cust19827"
128949,90,2014-12-05,"State3","100/1000",1131,1686.44,0,"other-relative","Cust19828"
128952,430,2010-08-21,"State3","250/1000",942,1308.18,0,"own-child","Cust19831"
128953,406,2008-09-22,"State3","500/500",704,1184.74,0,"own-child","Cust19832"
128954,160,2005-07-15,"State2","500/1000",2000,1311.23,7548583,"other-relative","Cust19833"
128955,182,2003-07-14,"State1","250/500",2000,1309.48,7402193,"other-relative","Cust19834"
128956,103,2009-06-17,"State2","250/1000",2000,1315.69,7921195,"other-relative","Cust19835"
128958,284,1992-03-19,"State1","500/1000",1000,1319.67,0,"unmarried","Cust19837"
128959,291,1992-02-21,"State3","500/1000",1000,1327.79,0,"wife","Cust19838"
128960,264,1992-04-12,"State1","500/1000",1000,1295.89,0,"unmarried","Cust19839"
128962,290,2006-03-04,"State3","500/1000",1000,1569.8,0,"other-relative","Cust19841"
128963,281,2001-02-03,"State3","250/1000",1000,1458.9,0,"not-in-family","Cust19842"
128964,275,1997-02-03,"State2","500/500",1000,1382.64,0,"not-in-family","Cust19843"
128965,289,2005-03-04,"State2","250/500",1000,1553.74,0,"not-in-family","Cust19844"
128966,291,1995-12-05,"State2","500/1000",2000,1263.16,0,"wife","Cust19845"
128968,275,1991-12-06,"State2","500/300",2000,1444.94,0,"wife","Cust19847"
128969,288,1994-12-05,"State1","100/1000",2000,1291.73,0,"husband","Cust19848"
128970,27,1998-09-20,"State2","100/500",500,852.28,0,"husband","Cust19849"
128971,87,2006-10-24,"State2","100/300",500,737.21,0,"not-in-family","Cust19850"
128972,34,1999-09-21,"State1","100/500",500,839.55,0,"husband","Cust19851"
128973,82,2005-10-23,"State2","250/300",500,745.62,0,"not-in-family","Cust19852"
128974,158,1993-12-06,"State3","100/300",2000,1322.66,0,"wife","Cust19853"
128975,208,1992-11-04,"State1","100/300",2000,1510.96,0,"wife","Cust19854"
128977,220,1991-11-03,"State3","100/300",2000,1555.13,0,"own-child","Cust19856"
128978,129,2001-05-10,"State2","250/1000",2000,1509.57,0,"wife","Cust19857"
128979,115,1999-03-11,"State2","250/1000",2000,1397.93,0,"wife","Cust19858"
128981,127,2000-05-10,"State2","250/1000",2000,1493.35,0,"husband","Cust19860"
128983,254,1999-10-10,"State2","250/500",500,1601.52,0,"own-child","Cust19862"
128984,249,1999-09-11,"State2","250/500",500,1596.72,0,"husband","Cust19863"
128985,255,1999-10-10,"State2","250/500",500,1602.44,0,"husband","Cust19864"
128987,347,2005-07-03,"State1","500/300",545,913.22,0,"other-relative","Cust19866"
128988,346,2005-08-04,"State1","100/1000",571,927.01,0,"other-relative","Cust19867"
128989,346,2005-08-03,"State3","500/300",563,922.98,0,"husband","Cust19868"
128990,389,1993-04-13,"State1","250/1000",2000,1002.65,0,"not-in-family","Cust19869"
128991,365,1993-04-12,"State3","500/500",2000,1019.18,0,"not-in-family","Cust19870"
128992,250,1992-02-04,"State3","500/500",2000,1099.6,0,"not-in-family","Cust19871"
128994,316,2006-11-20,"State1","100/300",1357,1224.6,0,"own-child","Cust19873"
128995,311,2007-09-22,"State1","100/300",1655,1281.79,0,"own-child","Cust19874"
128996,308,2008-09-22,"State1","100/300",1803,1310.17,0,"husband","Cust19875"
129000,386,1992-07-28,"State2","250/300",1000,1619.52,0,"other-relative","Cust19879"
129001,279,1993-06-18,"State2","100/500",1000,1720.88,0,"own-child","Cust19880"
129003,110,1994-01-26,"State3","500/1000",740,1489.62,0,"not-in-family","Cust19882"
129004,110,1994-01-26,"State1","500/1000",749,1485.46,0,"not-in-family","Cust19883"
129005,119,1992-02-25,"State1","500/1000",860,1437.94,0,"husband","Cust19884"
129006,114,2006-07-01,"State2","250/500",892,1229.01,0,"own-child","Cust19885"
129007,88,2008-09-03,"State2","250/500",537,1256.2,0,"own-child","Cust19886"
129008,99,2007-08-02,"State2","250/500",685,1244.81,0,"unmarried","Cust19887"
129009,86,2008-09-03,"State2","250/500",516,1257.81,0,"unmarried","Cust19888"
129011,101,1991-08-02,"State1","500/1000",1000,1348.02,0,"husband","Cust19890"
129013,101,1991-09-03,"State1","500/1000",1000,1334.65,0,"unmarried","Cust19892"
129014,92,1999-09-19,"State2","100/300",905,1350,4381300,"own-child","Cust19893"
129016,93,2000-09-21,"State2","100/300",751,1368.77,4997823,"own-child","Cust19895"
129019,86,2006-03-10,"State2","500/1000",1000,1099.28,5417130,"other-relative","Cust19898"
129020,83,2006-03-10,"State1","500/1000",1000,1102.36,5369063,"unmarried","Cust19899"
129021,45,2004-03-10,"State1","500/1000",1000,1143.7,4723073,"unmarried","Cust19900"
129022,157,2008-10-20,"State2","250/500",717,1307.04,2262078,"husband","Cust19901"
129024,164,2009-10-20,"State3","250/500",645,1326.58,2843279,"unmarried","Cust19903"
129025,163,2009-10-20,"State2","500/500",647,1325.87,2822269,"husband","Cust19904"
129026,170,1996-08-26,"State3","500/1000",894,889.54,0,"husband","Cust19905"
129027,174,1996-08-26,"State1","250/500",864,888.17,0,"husband","Cust19906"
129028,203,1991-09-21,"State3","500/1000",590,875.6,0,"husband","Cust19907"
129029,181,1995-08-25,"State1","500/1000",793,884.92,0,"husband","Cust19908"
129030,132,2002-07-14,"State2","250/500",681,984.73,0,"husband","Cust19909"
129031,124,2002-07-15,"State2","250/300",556,965.34,0,"husband","Cust19910"
129033,141,2001-06-12,"State2","100/500",823,1006.82,0,"husband","Cust19912"
129034,232,1990-03-28,"State2","500/1000",2000,1344,0,"other-relative","Cust19913"
129035,226,1990-04-29,"State2","500/1000",2000,1276.3,0,"other-relative","Cust19914"
129036,232,1990-03-28,"State1","500/1000",2000,1346.71,0,"unmarried","Cust19915"
129037,220,1990-04-29,"State1","500/1000",2000,1209.23,0,"other-relative","Cust19916"
129038,299,2008-07-20,"State3","100/300",2000,1437.28,0,"wife","Cust19917"
129039,275,2008-07-19,"State3","100/300",2000,1350.54,0,"not-in-family","Cust19918"
129040,270,2008-07-19,"State2","100/300",2000,1332.17,0,"wife","Cust19919"
129041,256,2008-06-18,"State2","100/300",2000,1279.93,0,"wife","Cust19920"
129042,294,2002-03-16,"State3","250/500",500,1275.4,0,"other-relative","Cust19921"
129043,315,2001-04-20,"State3","500/500",500,1256.19,0,"other-relative","Cust19922"
129044,287,2002-03-14,"State1","500/500",500,1281.86,0,"unmarried","Cust19923"
129045,284,2002-03-14,"State1","500/1000",500,1285.21,0,"other-relative","Cust19924"
129047,96,1991-05-18,"State1","500/300",2000,1492.86,0,"unmarried","Cust19926"
129048,94,1991-06-18,"State2","100/1000",2000,1506.38,0,"other-relative","Cust19927"
129049,92,1991-06-19,"State1","500/300",2000,1531.21,0,"other-relative","Cust19928"
129050,418,1998-12-13,"State1","500/500",939,1129.78,5756745,"other-relative","Cust19929"
129052,344,1995-08-19,"State3","500/500",531,1142.49,4124248,"other-relative","Cust19931"
129053,342,1995-08-19,"State3","250/500",524,1142.7,4097270,"other-relative","Cust19932"
129054,258,1999-02-18,"State2","500/1000",2000,944.02,6067256,"husband","Cust19933"
129055,267,1999-04-21,"State2","500/1000",2000,1029.73,6469796,"not-in-family","Cust19934"
129057,261,1999-03-19,"State2","500/1000",2000,965.71,6169104,"not-in-family","Cust19936"
129058,41,1998-09-28,"State3","100/300",869,1810.61,0,"wife","Cust19937"
129059,21,1997-10-30,"State3","100/1000",969,1825.13,0,"wife","Cust19938"
129060,22,1997-10-30,"State1","500/1000",966,1824.73,0,"wife","Cust19939"
129061,86,1999-09-26,"State1","500/300",643,1777.9,0,"not-in-family","Cust19940"
129062,258,2003-08-09,"State2","100/300",1000,964.43,0,"own-child","Cust19941"
129063,259,2002-09-09,"State2","500/1000",1000,941.69,0,"unmarried","Cust19942"
129065,256,2006-08-09,"State2","100/1000",1000,1052.11,0,"unmarried","Cust19944"
129066,122,2001-09-21,"State2","100/300",500,1189.4,1825589,"unmarried","Cust19945"
129067,67,2005-09-21,"State1","100/300",500,1281.57,2957514,"not-in-family","Cust19946"
129068,145,2000-08-20,"State1","100/300",500,1151.95,1365585,"unmarried","Cust19947"
129069,81,2004-09-21,"State2","100/300",500,1258.58,2675136,"unmarried","Cust19948"
129071,453,1993-03-16,"State3","250/300",500,1300.54,0,"wife","Cust19950"
129072,471,1995-02-18,"State2","100/300",500,1230.64,0,"wife","Cust19951"
129073,461,1994-03-17,"State2","100/300",500,1267.53,0,"own-child","Cust19952"
129074,88,2000-03-14,"State2","500/1000",2000,1024.79,0,"own-child","Cust19953"
129075,90,2000-03-15,"State2","500/1000",2000,1036.98,0,"other-relative","Cust19954"
129076,84,2000-03-11,"State2","500/1000",2000,1004.75,0,"other-relative","Cust19955"
129077,94,2001-02-18,"State2","500/1000",2000,1062.49,0,"other-relative","Cust19956"
129078,254,2013-12-13,"State1","500/1000",582,1229.04,0,"unmarried","Cust19957"
129079,251,2012-12-12,"State1","500/300",724,1273.94,0,"unmarried","Cust19958"
129081,250,2011-12-12,"State3","100/300",765,1286.9,0,"unmarried","Cust19960"
129082,155,2004-04-02,"State1","250/500",2000,1252.53,0,"not-in-family","Cust19961"
129083,154,2004-04-02,"State1","250/500",2000,1253.27,0,"husband","Cust19962"
129084,217,1998-06-01,"State3","500/500",2000,1218.97,0,"husband","Cust19963"
129086,113,2012-05-11,"State3","250/500",1000,1471.71,0,"other-relative","Cust19965"
129087,113,2012-06-11,"State1","250/500",1000,1498.7,0,"other-relative","Cust19966"
129090,261,1998-03-24,"State1","500/500",500,1117.98,0,"other-relative","Cust19969"
129091,260,1998-04-24,"State1","500/500",500,1118.73,0,"other-relative","Cust19970"
129092,268,1998-03-25,"State3","250/1000",500,1113.49,0,"unmarried","Cust19971"
129094,151,2004-11-17,"State2","250/300",1000,1342.73,0,"not-in-family","Cust19973"
129095,180,2011-09-17,"State3","250/300",1000,1376.65,0,"not-in-family","Cust19974"
129096,172,2009-10-17,"State2","250/300",1000,1367.12,0,"not-in-family","Cust19975"
129097,191,2013-08-17,"State3","250/500",1000,1389.45,0,"own-child","Cust19976"
129098,234,1998-08-05,"State1","250/1000",2000,1273.01,5227377,"own-child","Cust19977"
129099,181,2001-11-13,"State1","500/500",2000,1299.91,6404758,"wife","Cust19978"
129100,207,1999-09-09,"State1","500/1000",2000,1286.56,5820592,"wife","Cust19979"
129101,201,2000-09-10,"State3","500/500",2000,1289.64,5955443,"own-child","Cust19980"
129102,290,1999-07-31,"State3","500/300",2000,1104.02,0,"unmarried","Cust19981"
129106,285,2007-07-10,"State1","500/1000",500,1333.19,0,"husband","Cust19985"
129107,286,2008-07-10,"State1","250/1000",500,1338.42,0,"other-relative","Cust19986"
129108,299,2010-07-07,"State1","500/1000",500,1451,0,"husband","Cust19987"
129109,307,2011-06-05,"State1","500/500",500,1510.05,0,"husband","Cust19988"
129111,418,2002-11-09,"State2","250/300",748,1320.63,0,"other-relative","Cust19990"
129112,433,2009-11-08,"State1","100/300",584,1290.87,0,"other-relative","Cust19991"
129114,238,2010-02-20,"State2","500/1000",1000,1351.04,0,"own-child","Cust19993"
129116,239,2010-02-20,"State2","500/1000",1000,1353.19,0,"not-in-family","Cust19995"
129118,131,2013-07-04,"State2","250/1000",1078,974.27,0,"husband","Cust19997"
129119,129,2008-05-06,"State1","500/500",1840,935.41,0,"own-child","Cust19998"
129120,131,2012-07-04,"State1","250/1000",1128,971.72,0,"husband","Cust19999"
129122,444,2000-04-26,"State1","250/500",1394,1009.81,4788455,"own-child","Cust20001"
129123,424,1999-02-28,"State2","500/1000",1867,796.32,5733329,"unmarried","Cust20002"
129124,429,1999-02-27,"State2","500/1000",1768,840.92,5535940,"unmarried","Cust20003"
129125,425,1999-02-28,"State1","500/1000",1858,800.02,5716968,"unmarried","Cust20004"
129126,308,1993-05-05,"State1","500/1000",946,997.3,6108723,"other-relative","Cust20005"
129127,280,1992-07-06,"State1","250/1000",717,1094.46,6565174,"unmarried","Cust20006"
129130,94,1997-07-07,"State3","100/1000",679,983.19,0,"own-child","Cust20009"
129131,97,1997-07-07,"State3","500/300",702,984.4,0,"own-child","Cust20010"
129133,103,1998-07-08,"State3","500/1000",752,987.04,0,"wife","Cust20012"
129134,62,2006-10-16,"State2","100/300",1497,1299.6,4993794,"own-child","Cust20013"
129137,38,2013-11-14,"State3","100/300",1900,1268.13,5800014,"not-in-family","Cust20016"
129138,219,1995-12-16,"State2","100/300",1276,1405.98,0,"not-in-family","Cust20017"
129139,210,1998-11-17,"State1","100/300",1524,1353.62,0,"own-child","Cust20018"
129140,204,2000-11-18,"State1","100/300",1669,1323.07,0,"own-child","Cust20019"
129141,217,1996-12-16,"State1","100/300",1334,1393.63,0,"own-child","Cust20020"
129142,262,1996-09-24,"State2","250/500",1487,1569.49,2922164,"unmarried","Cust20021"
129143,260,1995-09-20,"State3","250/500",1094,1450.84,565630,"unmarried","Cust20022"
129144,263,1996-09-26,"State2","250/500",1694,1631.9,4161713,"own-child","Cust20023"
129145,264,1997-09-27,"State2","250/500",1759,1651.74,4555768,"unmarried","Cust20024"
129146,69,2004-11-30,"State1","500/1000",637,1155.95,547424,"other-relative","Cust20025"
129147,58,2004-12-31,"State1","500/1000",569,1158.6,276859,"other-relative","Cust20026"
129148,53,2003-12-31,"State1","500/1000",537,1159.84,149869,"other-relative","Cust20027"
129149,78,2005-11-30,"State1","500/1000",696,1153.61,785291,"own-child","Cust20028"
129150,259,2006-12-21,"State1","500/500",2000,1177.05,0,"not-in-family","Cust20029"
129153,255,2012-12-19,"State1","250/500",2000,1229.56,0,"not-in-family","Cust20032"
129154,35,1998-10-29,"State3","100/300",901,1815.3,0,"not-in-family","Cust20033"
129155,113,2000-08-24,"State3","500/300",508,1758.37,0,"not-in-family","Cust20034"
129156,55,1998-09-28,"State1","500/1000",800,1800.66,0,"wife","Cust20035"
129157,64,1998-09-27,"State1","500/300",756,1794.25,0,"wife","Cust20036"
129158,177,1994-09-11,"State3","500/500",776,1029.6,0,"not-in-family","Cust20037"
129159,142,1995-08-10,"State1","500/1000",640,1168.02,0,"not-in-family","Cust20038"
129160,133,1995-08-09,"State3","500/500",609,1200.19,0,"not-in-family","Cust20039"
129161,138,1995-08-10,"State3","500/500",625,1183.18,0,"not-in-family","Cust20040"
129162,49,1994-09-10,"State1","500/1000",1000,1419.15,0,"wife","Cust20041"
129163,42,1993-10-11,"State2","100/300",1000,1404.99,0,"unmarried","Cust20042"
129164,74,1996-08-06,"State1","100/1000",1000,1462.84,0,"wife","Cust20043"
129165,8,1991-11-16,"State2","100/1000",1000,1345.3,0,"unmarried","Cust20044"
129166,139,1998-12-07,"State3","100/300",2000,1309.6,5000000,"wife","Cust20045"
129168,205,1995-10-08,"State3","250/500",2000,1213.08,5000000,"own-child","Cust20047"
129169,208,1995-10-08,"State3","250/500",2000,1209.51,5000000,"own-child","Cust20048"
129170,118,2007-10-28,"State3","500/1000",949,1143.7,1797382,"own-child","Cust20049"
129172,82,2005-11-30,"State3","500/1000",722,1152.6,888730,"own-child","Cust20051"
129173,115,2006-10-28,"State1","500/1000",929,1144.5,1715049,"own-child","Cust20052"
129174,51,2008-05-16,"State1","100/300",500,1078.14,0,"other-relative","Cust20053"
129175,90,2003-02-22,"State1","250/300",500,933.92,0,"unmarried","Cust20054"
129176,51,2008-05-16,"State1","250/500",500,-1,0,"other-relative","Cust20055"
129177,96,2003-01-22,"State1","100/500",500,914.78,0,"other-relative","Cust20056"
129178,292,2009-05-21,"State2","250/1000",1000,1452.89,2416114,"other-relative","Cust20057"
129179,281,2010-03-19,"State3","250/1000",1000,1424.03,992838,"own-child","Cust20058"
129180,273,2010-02-17,"State3","250/1000",1000,1404.15,12091,"other-relative","Cust20059"
129181,289,2009-05-20,"State3","500/500",1000,1443.72,1963740,"other-relative","Cust20060"
129182,174,2010-03-08,"State3","100/300",605,1053.28,0,"husband","Cust20061"
129183,176,2009-03-08,"State1","100/300",547,1043.69,0,"own-child","Cust20062"
129184,174,2010-03-08,"State3","100/300",607,1053.71,0,"husband","Cust20063"
129186,432,1998-11-14,"State2","250/500",2000,1142.87,0,"own-child","Cust20065"
129188,412,2002-10-05,"State2","250/300",2000,1123.33,0,"own-child","Cust20067"
129189,434,1997-11-14,"State2","100/500",2000,1144.48,0,"not-in-family","Cust20068"
129190,128,1996-09-17,"State3","250/300",2000,1079.76,0,"husband","Cust20069"
129191,102,1995-08-19,"State1","250/300",2000,1075.57,0,"husband","Cust20070"
